capture_year,images_in_year,cumulative_images,cumulative_covered_km,cumulative_coverage_pct
2009,5,5,0.11063483198660966,0.02495129504397451
2010,0,5,0.11063483198660966,0.02495129504397451
2011,0,5,0.11063483198660966,0.02495129504397451
2012,0,5,0.11063483198660966,0.02495129504397451
2013,103,108,0.883836098554569,0.1993301284013292
2014,0,108,0.883836098554569,0.1993301284013292
2015,393,501,2.1786558217187793,0.4913487301499886
2016,222,723,5.427638959505406,1.22408665190707
2017,2480,3203,16.35504663844337,3.688527264027975
2018,14306,17509,53.74801189713209,12.121702349895632
2019,78115,95624,179.29849795243703,40.43690077546446
2020,7678,103302,182.58310569454184,41.17767305671942
2021,868,104170,183.5085166280413,41.386379490525535
2022,321,104491,184.06745161876225,41.51243519661246
2023,170,104661,184.11466473058735,41.52308309349936
2024,958,105619,185.4045007835308,41.81397773614899
2025,145,105764,185.61019081234974,41.86036667627308
